Innings,Over,Batting_Team,Strike,Non_Strike,Bowler,Runs,Extras,Out,Batsman_out
1,0.1,Mumbai Indians,LMP Simmons,RG Sharma,RP Singh,1,0,"""""","""""
"
1,0.2,Mumbai Indians,RG Sharma,LMP Simmons,RP Singh,0,0,"""""","""""
"
1,0.3,Mumbai Indians,RG Sharma,LMP Simmons,RP Singh,2,0,"""""","""""
"
1,0.4,Mumbai Indians,RG Sharma,LMP Simmons,RP Singh,4,0,"""""","""""
"
1,0.5,Mumbai Indians,RG Sharma,LMP Simmons,RP Singh,1,0,"""""","""""
"
1,0.6,Mumbai Indians,LMP Simmons,RG Sharma,RP Singh,0,0,"""""","""""
"
1,1.1,Mumbai Indians,RG Sharma,LMP Simmons,I Sharma,0,0,lbw,"RG Sharma
"
1,1.2,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,0,3,"""""","""""
"
1,1.3,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,0,0,"""""","""""
"
1,1.4,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,0,0,"""""","""""
"
1,1.5,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,0,0,"""""","""""
"
1,1.6,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,0,1,"""""","""""
"
1,1.7,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,0,0,"""""","""""
"
1,1.8,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,0,0,"""""","""""
"
1,2.1,Mumbai Indians,LMP Simmons,HH Pandya,RP Singh,0,0,"""""","""""
"
1,2.2,Mumbai Indians,LMP Simmons,HH Pandya,RP Singh,6,0,"""""","""""
"
1,2.3,Mumbai Indians,LMP Simmons,HH Pandya,RP Singh,1,0,"""""","""""
"
1,2.4,Mumbai Indians,HH Pandya,LMP Simmons,RP Singh,1,0,"""""","""""
"
1,2.5,Mumbai Indians,LMP Simmons,HH Pandya,RP Singh,0,0,"""""","""""
"
1,2.6,Mumbai Indians,LMP Simmons,HH Pandya,RP Singh,0,0,"""""","""""
"
1,3.1,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,4,0,"""""","""""
"
