,Name,Innings,Runs,Balls,Average,Strike_rate,Outs,Not_outs,4s,6s
0,A Ashish Reddy,3,47,30,23.5,156.66666666666666,2,1,2,4
1,A Mishra,2,4,14,2.0,28.571428571428573,2,0,0,0
2,A Nehra,1,1,1,0.0,100.0,0,1,0,0
3,A Zampa,2,0,1,0.0,0.0,1,1,0,0
4,AB de Villiers,16,687,415,52.84615384615385,165.5421686746988,13,3,57,37
5,AD Nath,3,20,27,6.666666666666667,74.07407407407408,3,0,1,0
6,AD Russell,8,188,125,26.857142857142858,150.4,7,1,10,15
7,AJ Finch,13,393,311,49.125,126.36655948553054,8,5,45,11
8,AM Rahane,17,480,387,36.92307692307692,124.03100775193798,13,4,54,9
9,AP Tare,2,8,15,4.0,53.333333333333336,2,0,1,0
10,AR Patel,10,111,81,18.5,137.03703703703704,6,4,4,8
11,AT Rayudu,12,334,284,30.363636363636363,117.6056338028169,11,1,28,12
12,Ankit Sharma,2,3,3,0.0,100.0,0,2,0,0
13,B Kumar,7,43,28,8.6,153.57142857142858,5,2,6,1
14,BB McCullum,16,354,273,22.125,129.67032967032966,16,0,38,16
15,BB Sran,3,4,4,0.0,100.0,0,3,0,0
16,BCJ Cutting,4,65,37,21.666666666666668,175.67567567567568,3,1,4,6
17,Bipul Sharma,3,51,25,51.0,204.0,1,2,1,5
18,C Munro,3,30,31,30.0,96.7741935483871,1,2,3,0
19,CA Lynn,2,25,23,25.0,108.69565217391305,1,1,0,1
20,CH Gayle,9,227,159,22.7,142.76729559748426,10,-1,17,21
21,CH Morris,8,195,114,48.75,171.05263157894737,4,4,15,12
22,CJ Jordan,0,3,4,0.0,75.0,0,0,0,0
23,CR Brathwaite,6,83,40,13.833333333333334,207.5,6,0,6,8
24,D Wiese,1,5,4,0.0,125.0,0,1,0,0
25,DA Miller,14,161,139,16.1,115.8273381294964,10,4,11,4
26,DA Warner,18,848,579,53.0,146.4594127806563,16,2,88,31
27,DJ Bravo,13,99,88,12.375,112.5,8,5,11,1
28,DJ Hooda,14,144,125,13.090909090909092,115.2,11,3,9,5
29,DR Smith,12,324,226,29.454545454545453,143.36283185840708,11,1,35,16
30,DS Kulkarni,6,27,16,13.5,168.75,2,4,3,0
31,DW Steyn,1,1,2,1.0,50.0,1,0,0,0
32,EJG Morgan,6,123,105,24.6,117.14285714285714,5,1,8,4
33,ER Dwivedi,2,24,15,12.0,160.0,2,0,2,2
34,F Behardien,3,14,13,7.0,107.6923076923077,2,1,2,0
35,F du Plessis,6,206,169,34.333333333333336,121.89349112426035,6,0,17,9
36,G Gambhir,17,501,424,41.75,118.16037735849056,12,5,54,6
37,GB Hogg,0,0,0,0.0,0.0,0,0,0,0
38,GJ Bailey,5,84,99,21.0,84.84848484848484,4,1,9,2
39,GJ Maxwell,11,179,129,19.88888888888889,138.75968992248062,9,2,14,8
40,Gurkeerat Singh,7,113,87,18.833333333333332,129.88505747126436,6,1,11,3
41,HH Pandya,10,44,66,6.285714285714286,66.66666666666667,7,3,4,0
42,HM Amla,6,157,122,26.166666666666668,128.68852459016392,6,0,20,4
43,HV Patel,0,0,0,0.0,0.0,0,0,0,0
44,Harbhajan Singh,7,92,91,30.666666666666668,101.0989010989011,3,4,11,2
45,I Sharma,0,0,0,0.0,0.0,0,0,0,0
46,IK Pathan,3,11,14,5.5,78.57142857142857,2,1,0,0
47,Imran Tahir,1,5,7,5.0,71.42857142857143,1,0,1,0
48,Iqbal Abdulla,2,37,27,0.0,137.03703703703704,0,2,4,1
49,Ishan Kishan,5,42,41,10.5,102.4390243902439,4,1,5,0
50,J Yadav,2,6,12,0.0,50.0,0,2,0,0
51,JA Morkel,1,16,9,16.0,177.77777777777777,1,0,0,2
52,JC Buttler,15,255,189,23.181818181818183,134.9206349206349,11,4,23,11
53,JJ Bumrah,3,8,11,8.0,72.72727272727273,1,2,1,0
54,JO Holder,4,22,20,5.5,110.0,4,0,2,1
55,JP Duminy,9,191,157,38.2,121.65605095541402,5,4,13,3
56,JP Faulkner,6,77,60,25.666666666666668,128.33333333333334,3,3,7,0
57,KA Pollard,15,208,156,26.0,133.33333333333334,8,7,11,16
58,KC Cariappa,2,13,11,13.0,118.18181818181819,1,1,0,1
59,KD Karthik,16,335,273,23.928571428571427,122.71062271062272,14,2,38,3
60,KH Pandya,8,237,127,47.4,186.61417322834646,5,3,22,13
61,KJ Abbott,3,13,8,13.0,162.5,1,2,0,1
