,Name,Balls,Matches,Wickets,Runs,Avg_runs_per_match,Economy,Wickets_per_match
0,A Ashish Reddy,23,2,1,39,19.5,10.17391304347826,0.5
1,A Mishra,284,14,13,332,23.714285714285715,7.014084507042253,0.9285714285714286
2,A Nehra,161,9,9,192,21.333333333333332,7.15527950310559,1.0
3,A Zampa,103,5,12,110,22.0,6.407766990291262,2.4
4,AB Dinda,192,13,11,222,17.076923076923077,6.9375,0.8461538461538461
5,AD Russell,224,16,15,282,17.625,7.553571428571428,0.9375
6,AF Milne,25,1,1,38,38.0,9.12,1.0
7,AR Patel,294,14,13,381,27.214285714285715,7.775510204081633,0.9285714285714286
8,AS Rajpoot,72,4,3,88,22.0,7.333333333333333,0.75
9,Ankit Sharma,70,3,1,78,26.0,6.685714285714286,0.3333333333333333
10,Anureet Singh,38,2,0,41,20.5,6.473684210526316,0.0
11,B Kumar,414,22,23,466,21.181818181818183,6.753623188405797,1.0454545454545454
12,BB Sran,312,13,14,398,30.615384615384617,7.653846153846154,1.0769230769230769
13,BCJ Cutting,68,3,5,79,26.333333333333332,6.970588235294117,1.6666666666666667
14,Bipul Sharma,84,5,3,121,24.2,8.642857142857142,0.6
15,C Munro,12,2,0,15,7.5,7.5,0.0
16,CH Gayle,65,3,2,57,19.0,5.2615384615384615,0.6666666666666666
17,CH Morris,274,12,13,294,24.5,6.437956204379562,1.0833333333333333
18,CJ Jordan,181,8,11,241,30.125,7.988950276243093,1.375
19,CR Brathwaite,143,8,7,181,22.625,7.594405594405595,0.875
20,D Wiese,27,1,0,46,46.0,10.222222222222221,0.0
21,DJ Bravo,348,15,17,481,32.06666666666667,8.293103448275861,1.1333333333333333
22,DJ Hooda,80,6,3,94,15.666666666666666,7.05,0.5
23,DL Chahar,33,2,0,38,19.0,6.909090909090909,0.0
24,DR Smith,113,8,8,148,18.5,7.858407079646018,1.0
25,DS Kulkarni,297,14,18,361,25.785714285714285,7.292929292929293,1.2857142857142858
26,DW Steyn,13,1,0,16,16.0,7.384615384615385,0.0
27,GB Hogg,98,5,4,136,27.2,8.326530612244898,0.8
28,GJ Maxwell,55,7,0,78,11.142857142857142,8.50909090909091,0.0
29,Gurkeerat Singh,26,3,2,29,9.666666666666666,6.6923076923076925,0.6666666666666666
30,HH Pandya,106,10,3,147,14.7,8.320754716981131,0.3
31,HV Patel,90,5,1,141,28.2,9.4,0.2
32,Harbhajan Singh,300,14,9,386,27.571428571428573,7.72,0.6428571428571429
33,I Sharma,97,5,3,135,27.0,8.350515463917525,0.6
34,IK Pathan,48,4,0,61,15.25,7.625,0.0
35,Imran Tahir,97,4,5,137,34.25,8.474226804123711,1.25
36,Iqbal Abdulla,155,7,6,208,29.714285714285715,8.051612903225807,0.8571428571428571
37,J Suchith,14,1,0,29,29.0,12.428571428571427,0.0
38,J Yadav,104,6,2,123,20.5,7.096153846153847,0.3333333333333333
39,JA Morkel,34,2,2,61,30.5,10.76470588235294,1.0
40,JD Unadkat,19,1,0,48,48.0,15.157894736842106,0.0
41,JJ Bumrah,322,14,15,396,28.285714285714285,7.37888198757764,1.0714285714285714
42,JO Holder,83,4,2,98,24.5,7.08433734939759,0.5
43,JP Duminy,43,5,2,54,10.8,7.534883720930233,0.4
44,JP Faulkner,108,7,2,160,22.857142857142858,8.88888888888889,0.2857142857142857
45,JW Hastings,42,2,2,35,17.5,5.0,1.0
46,KA Pollard,37,4,0,80,20.0,12.972972972972972,0.0
47,KC Cariappa,105,5,3,156,31.2,8.914285714285715,0.6
48,KH Pandya,194,11,6,225,20.454545454545453,6.958762886597937,0.5454545454545454
49,KJ Abbott,102,5,2,170,34.0,10.0,0.4
50,KS Williamson,6,1,0,7,7.0,7.0,0.0
51,KV Sharma,100,5,0,169,33.8,10.139999999999999,0.0
52,KW Richardson,86,5,8,131,26.2,9.13953488372093,1.6
53,Kuldeep Yadav,74,3,6,94,31.333333333333332,7.621621621621621,2.0
54,M Ashwin,176,10,7,234,23.4,7.9772727272727275,0.7
55,M Morkel,220,13,10,290,22.307692307692307,7.909090909090909,0.7692307692307693
56,M Vijay,7,1,0,7,7.0,6.0,0.0
57,MC Henriques,318,16,12,409,25.5625,7.716981132075472,0.75
58,MG Johnson,69,3,2,103,34.333333333333336,8.956521739130435,0.6666666666666666
59,MJ McClenaghan,332,14,17,424,30.285714285714285,7.662650602409638,1.2142857142857142
60,MM Sharma,304,14,13,394,28.142857142857142,7.776315789473685,0.9285714285714286
61,MP Stoinis,140,7,8,191,27.285714285714285,8.185714285714287,1.1428571428571428
62,MR Marsh,55,3,4,44,14.666666666666666,4.800000000000001,1.3333333333333333
63,Mohammed Shami,156,8,5,235,29.375,9.038461538461538,0.625
64,Mustafizur Rahman,376,15,17,411,27.4,6.558510638297872,1.1333333333333333
65,N Rana,6,1,0,3,3.0,3.0,0.0
66,NLTC Perera,202,11,9,323,29.363636363636363,9.594059405940595,0.8181818181818182
67,NM Coulter-Nile,93,4,3,111,27.75,7.161290322580645,0.75
68,P Kumar,319,26,9,383,14.73076923076923,7.2037617554858935,0.34615384615384615
69,P Negi,54,5,1,84,16.8,9.333333333333334,0.2
70,P Sahu,107,5,3,144,28.8,8.074766355140188,0.6
71,PJ Sangwan,25,2,0,48,24.0,11.52,0.0
72,PP Chawla,216,11,11,265,24.09090909090909,7.361111111111111,1.0
73,PV Tambe,97,7,5,142,20.285714285714285,8.783505154639174,0.7142857142857143
74,Parvez Rasool,84,4,1,129,32.25,9.214285714285714,0.25
75,R Ashwin,278,14,10,299,21.357142857142858,6.453237410071942,0.7142857142857143
76,R Bhatia,208,10,6,240,24.0,6.923076923076923,0.6
77,R Dhawan,45,2,2,53,26.5,7.066666666666666,1.0
78,R Sathish,38,3,1,57,19.0,9.0,0.3333333333333333
79,R Vinay Kumar,57,3,3,61,20.333333333333332,6.421052631578948,1.0
80,RA Jadeja,247,14,8,305,21.785714285714285,7.4089068825910935,0.5714285714285714
