,Name,class
0,AM Rahane,8
1,G Gambhir,8
2,M Vijay,8
3,Q de Kock,8
4,RG Sharma,8
5,S Dhawan,8
6,A Nehra,1
7,AD Nath,1
8,Ankit Sharma,1
9,BB Sran,1
10,C Munro,1
11,CA Lynn,1
12,CJ Jordan,1
13,D Wiese,1
14,F Behardien,1
15,HH Pandya,1
16,IK Pathan,1
17,Imran Tahir,1
18,Ishan Kishan,1
19,JJ Bumrah,1
20,JO Holder,1
21,KC Cariappa,1
22,KV Sharma,1
23,KW Richardson,1
24,LMP Simmons,1
25,M Morkel,1
26,MA Agarwal,1
27,MJ Guptill,1
28,MM Sharma,1
29,MR Marsh,1
30,NM Coulter-Nile,1
31,NS Naik,1
32,P Kumar,1
33,P Negi,1
34,PP Chawla,1
35,Parvez Rasool,1
36,R Ashwin,1
37,R Sathish,1
38,R Vinay Kumar,1
39,SS Iyer,1
40,Sandeep Sharma,1
41,AD Russell,5
42,CH Morris,5
43,DA Miller,5
44,DJ Hooda,5
45,GJ Maxwell,5
46,HM Amla,5
47,JP Duminy,5
48,M Vohra,5
49,MC Henriques,5
50,MP Stoinis,5
51,NLTC Perera,5
52,NV Ojha,5
53,PA Patel,5
54,RR Pant,5
55,SA Yadav,5
56,SE Marsh,5
57,SR Watson,5
58,SS Tiwary,5
59,CH Gayle,6
60,F du Plessis,6
61,JC Buttler,6
62,KA Pollard,6
63,KH Pandya,6
64,MK Pandey,6
65,MS Dhoni,6
66,RA Jadeja,6
67,SPD Smith,6
68,WP Saha,6
69,Yuvraj Singh,6
70,AJ Finch,7
71,AT Rayudu,7
72,BB McCullum,7
73,DR Smith,7
74,KD Karthik,7
75,KK Nair,7
76,KL Rahul,7
77,RV Uthappa,7
78,SK Raina,7
79,SV Samson,7
80,YK Pathan,7
81,AB de Villiers,9
82,DA Warner,9
83,V Kohli,9
84,AR Patel,4
85,DJ Bravo,4
86,EJG Morgan,4
87,GJ Bailey,4
88,Gurkeerat Singh,4
89,Harbhajan Singh,4
90,JP Faulkner,4
91,KP Pietersen,4
92,KS Williamson,4
93,N Rana,4
94,SW Billings,4
95,Sachin Baby,4
96,Shakib Al Hasan,4
97,UT Khawaja,4
98,A Ashish Reddy,2
99,B Kumar,2
100,DS Kulkarni,2
101,ER Dwivedi,2
102,Iqbal Abdulla,2
103,JA Morkel,2
104,KJ Abbott,2
105,KM Jadhav,2
106,MJ McClenaghan,2
107,P Sahu,2
108,R Bhatia,2
109,STR Binny,2
110,TG Southee,2
111,TM Head,2
112,UT Yadav,2
113,A Mishra,0
114,A Zampa,0
115,AP Tare,0
116,DW Steyn,0
117,GB Hogg,0
118,HV Patel,0
119,I Sharma,0
120,J Yadav,0
121,M Ashwin,0
122,MG Johnson,0
123,Mohammed Shami,0
124,PSP Handscomb,0
125,PV Tambe,0
126,S Gopal,0
127,S Kaushik,0
128,S Nadeem,0
129,SB Jakati,0
130,SP Narine,0
131,Swapnil Singh,0
132,UBT Chand,0
133,VR Aaron,0
134,Z Khan,0
135,BCJ Cutting,3
136,Bipul Sharma,3
137,CR Brathwaite,3
138,R Dhawan,3
139,SN Khan,3
