Home_Team,Away_Team,Toss_Won,Toss_Decision,Venue,Over,Batting_Team,Striker,Non_Striker,Bowler,Runs,Wicket
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,1,Mumbai Indians,LMP Simmons,RG Sharma,RP Singh,8,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,2,Mumbai Indians,RG Sharma,LMP Simmons,I Sharma,0,1
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,3,Mumbai Indians,LMP Simmons,HH Pandya,RP Singh,8,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,4,Mumbai Indians,HH Pandya,LMP Simmons,I Sharma,8,1
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,5,Mumbai Indians,HH Pandya,JC Buttler,MR Marsh,1,2
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,6,Mumbai Indians,AT Rayudu,KA Pollard,I Sharma,1,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,7,Mumbai Indians,AT Rayudu,KA Pollard,MR Marsh,2,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,8,Mumbai Indians,KA Pollard,AT Rayudu,R Bhatia,0,1
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,9,Mumbai Indians,AT Rayudu,S Gopal,MR Marsh,7,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,10,Mumbai Indians,AT Rayudu,S Gopal,R Bhatia,1,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,11,Mumbai Indians,AT Rayudu,S Gopal,M Ashwin,3,1
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,12,Mumbai Indians,Harbhajan Singh,AT Rayudu,R Bhatia,6,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,13,Mumbai Indians,AT Rayudu,Harbhajan Singh,M Ashwin,5,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,14,Mumbai Indians,AT Rayudu,Harbhajan Singh,R Bhatia,3,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,15,Mumbai Indians,AT Rayudu,Harbhajan Singh,M Ashwin,3,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,16,Mumbai Indians,AT Rayudu,Harbhajan Singh,R Ashwin,7,1
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,17,Mumbai Indians,R Vinay Kumar,Harbhajan Singh,M Ashwin,5,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,18,Mumbai Indians,R Vinay Kumar,Harbhajan Singh,MR Marsh,10,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,19,Mumbai Indians,Harbhajan Singh,R Vinay Kumar,RP Singh,13,1
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,20,Mumbai Indians,MJ McClenaghan,Harbhajan Singh,I Sharma,17,0
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Mumbai,1,Rising Pune Supergiants,AM Rahane,F du Plessis,MJ McClenaghan,8,0
